Study_Hours,Attendance_Percentage,Previous_Exam_Marks,Assignment_Marks,Internal_Marks,Practice_Test_Score,Sleep_Hours,Final_Exam_Marks
2,56.4,67.7,96.5,87,79.3,8.5,82.7
5.4,96.9,39,50,38.6,45.2,5,57.2
1.1,86,58.9,70,76.5,55.7,7.1,69.5
5.2,85.4,70.7,81.5,43.4,57.4,6,63.5
1.5,64.7,61.8,81.8,59.9,98.4,4.2,69.9
2.1,84.6,56.1,78.9,67.9,96.8,5.7,69.8
2.1,72.7,94.6,56.5,59.2,86,5.3,80.2
6.8,84.3,87.2,49.4,66.2,46.9,7.4,81.4
7.7,59.8,70.5,78.2,94.8,34.8,8.7,84.6
6.3,84.6,67,76,43.1,52.2,5.3,72.9
9.7,100,70.3,50.8,75.5,48.7,8.1,81.1
4.4,57.2,43.1,82.3,58.8,65.4,4.3,70
3.6,99,55.7,67.3,43,84.4,6.7,77
8.8,73.3,32.6,80.1,44.5,90.1,4.4,73.5
3,94.2,60.9,90.2,92,89.1,8.7,91
9.7,90.2,65.3,50.2,87.8,55.2,7.8,83.6
1.1,80.5,44.8,41.1,89.4,78.1,7.3,61.3
9.7,88.2,92.7,86.7,94.5,51.9,8.1,99.3
1.4,94.5,89.1,76.6,47.5,34.3,7.2,69.6
9,73.2,76.9,82,56.3,79.1,8.8,87.2
5.7,69.7,64.7,90.3,75.2,30.7,7.6,77.5
9.9,85,86.5,88.2,64,58.6,8.6,94.6
1.7,91.4,38.5,97.7,60.1,53.1,6.6,59.4
6,89.3,81.4,72.2,56.5,78.5,4.6,81.9
9.7,90.9,38.1,69.3,70.6,83.6,6.6,85.1
5.7,74.6,81.6,64.1,69.5,51.3,4.6,75.8
6.7,91.8,47.9,49.2,44.7,86.8,7,75.5
7.3,60.4,87,74.4,63.3,50.6,6.4,75.3
5.1,79.5,91.4,56.6,68.2,61.2,7.1,81.3
6.6,55.3,39.7,95.3,69.2,80.9,4.1,68.3
6.3,69.6,60.1,75,47.6,78.5,5,67.7
9.1,71.5,93.8,75.6,79.5,99.1,6.5,94.9
1.4,72.8,61.4,61.3,36.5,45.8,8.8,53.8
3.5,86.3,86.1,43.1,56.3,76.4,5.9,70
9.6,72.5,68.3,41.9,81.8,72.7,6.1,82.3
9,75.2,54.4,65.4,68.8,94.1,7.6,87.8
5.1,65.7,48.6,45.1,50.7,40.9,7,57.7
6.6,71.8,43.2,76.4,76.7,82.6,5.5,69.5
3.5,65.2,79.5,92.9,69,69.8,6.1,82.3
2.7,58.3,55.1,93,82.8,49.2,5.1,64.6
5.2,82.2,63.2,79.5,79.1,63.2,8.8,80.2
4.2,85.1,62,52.7,71.6,53.4,4.7,69.1
6.3,82.9,67.5,91.8,64.3,70.6,5.9,81.7
1.7,75.9,86.3,93.2,43,92.2,4.1,77.5
9.8,72.1,93.7,51.8,50.7,69.9,5.1,85.6
9.9,93.9,56.5,84.2,60.1,74.2,7.9,83.5
7.3,78.4,83.8,57.2,71,66.3,5,89.8
5.8,76.6,79.7,88.2,65.8,33.6,4.4,75.8
3.8,56.2,67.3,99.8,52.3,46.3,6.4,68.2
8.3,70.4,92.1,41.8,35.4,64.4,4,77.5
7.2,72.1,43,93.8,64.8,51.7,4.4,72.5
2.5,72.9,37.1,77.4,52.1,42.7,8,59.6
9.2,81.1,85.5,98.4,79.1,65.3,7.9,100
8.4,79,58.5,67.9,36.4,52.6,8.6,72.2
9.5,82.4,85.1,90.8,70.1,48.1,8.3,90.4
7.5,89.4,88.1,43.7,91.5,62.5,7.4,88.1
6.5,91.6,34.1,60.1,45.5,39.3,4.3,63.3
4.8,87.3,87.4,44,63.3,94.9,7.9,75.5
9.4,98,59.1,98.5,40.5,90.7,8.2,80.2
8.8,55.8,63.2,89,72.5,79.5,8,84.4
1.4,63.8,70.7,91.2,68,37.4,6.5,59.7
1.2,55.3,90.2,96.3,59.4,84.3,5.2,73
4.4,84.1,31.2,45.1,66.3,86.6,8.2,68.2
8.3,95.4,61,63.1,88.8,83.7,7.6,85.2
9.9,66,74.7,44.3,46.8,38,8.9,70
2.4,96.7,77,52.6,36.4,75.1,4.8,65.2
6.3,57.7,75,53.8,86.7,88.4,5.1,84.3
4.4,97,38.7,68.1,69.6,70.4,5.1,61.2
9.7,70.8,49.5,56.1,88.4,75.2,8,87.5
8.6,59.6,53.3,46.1,70.8,62.1,4.9,75
8.5,76.9,82.3,50,83.6,67,4.3,87.7
5.2,66.6,48.1,48.8,60.8,32.4,9,67.3
4.7,67.8,43.7,98.4,80,74.7,4.1,82
3.5,68.8,92.2,85.6,89.8,35.7,8.2,79.9
1.5,91.1,30.6,98.1,69.3,60.5,5.8,63.6
8.8,79.3,94.9,66.4,45.8,50.5,8.2,82.5
8.3,69,74,56.7,51.1,68.2,6.8,77.8
10,82.5,83.9,87.9,46.9,39.3,8.5,92.3
10,87.2,49.2,59.6,49.8,78.4,8.6,74.9
6,67.3,30.9,58,53.4,85.7,4,59.2
7.9,73.6,78,54,68.3,41.4,4.4,80.5
9.5,60.5,84.2,47.8,70.3,37.3,5.3,82.3
8.6,63.2,78.1,55.4,60.6,40.2,7.3,75.4
3.2,85.7,39.3,61.3,71.9,91.4,8.4,73.9
5.1,63.2,79,80.4,39.9,67,6.3,74
2.2,78.6,80,43.8,40.3,62.7,7,69.3
9.6,86.9,72.8,52.6,45.3,37.5,4.9,73.9
6.5,59.8,79.8,88.5,66.1,75.5,8,88.9
3.1,80.5,85,48.8,47.8,90.8,8.8,85.4
7,66.5,69.9,60.6,52,88,5.3,78.5
6.6,98.3,35.8,91.9,59,73.8,6.5,75.3
4.2,76.8,61.7,49.3,83.7,35.3,4.4,68.2
2,91.3,35,45,35.8,37.9,6.8,46.8
7,79.8,56.5,69.1,74,33.5,6.5,82.3
5.7,57,56.5,58.1,75.1,48,4.7,67.6
8,83.5,34.3,73.8,82.9,39.5,6.2,71.6
5.7,97.8,52.7,88.2,91,48.2,5.7,75.4
8.7,82.1,37.2,48.2,36.2,57,6.6,68.9
6,91.9,82.5,74.8,44.2,96,6.9,86.6
6,94.8,91.6,70.3,88.2,72.7,4,85.5
8.9,65.3,34.7,48.6,62.5,88.4,7.8,76.2
4.6,64.5,92.1,77.4,68.9,79.7,7.6,77.6
2.2,82.5,64,56.4,74.8,37.9,5.8,64.3
1.3,73.5,49.5,69.3,75.7,81.5,4.3,66.2
7.8,92.8,35,44.9,90.9,49.3,7.8,80.6
6.6,95.5,62.5,67.6,94.8,74.7,8.8,84.4
7.3,70.9,81.6,58.4,78.2,53.9,5.2,74.7
2.9,65.7,76,89.3,52.2,99.8,5.6,72.2
2.2,90.1,33.3,43.4,87.8,48.4,4.9,52.6
1.1,67.4,34.7,65.1,38,49.5,6.9,54.7
4.2,92,56.2,67.5,48.9,95.1,4.8,76.8
6.3,74.1,49.2,83.5,88.8,31.7,5.8,74.4
4.5,85,45.1,74.5,50.4,78.8,7.5,74.2
4.9,59.3,48.3,80,48.2,80.8,6.8,68.9
9.1,83.1,82.2,86.6,43.3,88.5,5.9,87.5
4.1,75.3,90.4,91.7,86.5,98.2,6.1,88.9
5.6,81.4,56.3,58.8,65,98.3,6.8,75.5
8.1,62.6,88.9,72.3,75.5,34.6,4,73.6
4.6,88.2,50.9,90.4,49.3,87.5,4.4,72.7
6.6,93.8,61,99.4,80.5,75.2,8.4,88.4
8.8,64.8,44.7,93.4,80.6,75.3,4.4,84.1
9.5,59.3,71.6,62.3,53.8,39,7.5,76.7
2.3,56.1,93.6,51.7,59.6,75.5,8.6,72.6
9.3,83.9,69.2,69.4,47.6,98.8,5.4,81
5.4,82.3,53.3,84.5,93.6,93.8,5.9,84
3.3,79.6,72.1,69.6,73.7,60.7,6.8,76.6
5.1,65.4,38,69,91.1,32.8,8.4,63.6
9.8,72.6,87.8,90.3,53.2,55.4,8.7,90.4
5.4,81.8,62.7,61.7,81.9,87.8,7.7,82.1
4,77.4,59.2,91.6,81,79.1,4.4,73.9
6.7,99.5,68.1,64.4,76.5,62.2,7.3,79.6
3.2,61.1,70.6,59.7,92.9,33.9,6.1,69.8
1.7,86.3,34.7,67.2,58.6,59.9,6.4,53.4
2.2,73.2,74.4,85.7,42.8,62.8,4.2,66.8
2.2,74.3,45.7,47.6,75.3,95,5,61.1
2.4,87.3,76.4,51.8,78.8,74.9,8,79.6
2.2,86.2,83.5,97.1,69.5,51.8,6.3,85.8
6.8,99.6,82.3,50.5,47.4,66.8,5.5,73.3
2.6,60.8,65.9,74.1,65.3,34.6,5.9,65.2
4.1,59.7,63.8,74.8,53.7,98.1,8.3,72.2
9.1,87.6,39.3,69.4,60.6,55.2,7.7,79.5
5.3,81,80.4,78.7,73.7,63.5,5.4,75.2
7,67.3,47.6,53.8,79.7,54.9,4.6,71.4
2.6,58.6,62.3,73.2,48.9,77.8,5.3,60.9
2.7,58.9,48.5,62.3,59.3,76.4,8.6,63.9
1.4,95.2,38.7,79.7,51.1,80.1,6.9,59
2.5,63.6,70.9,48.5,46.9,48.8,6.7,63
3.5,69.6,33.5,74.3,82,52.1,7,61.3
2.6,65.2,78.7,51.1,89.6,38.8,5.8,70.8
1.8,71,50.6,56.7,57.2,75.9,8,61.3
2.1,58.1,30,53.1,80.1,32.8,6.6,52.6
5.1,78.4,63.2,51,88.8,71.8,4.6,75.2
2.9,58,33,89.5,85.8,90.9,4.6,65.6
4.3,91,48,57.1,46,92.4,6.7,68.9
5.5,65.5,76,95.6,92.4,61.4,8.7,93.4
7.2,79.3,34.1,98.2,57.6,62.2,5.5,68.8
1.4,94.6,84.6,74.3,55.4,35.4,8.3,73.9
8.2,84.3,30.2,48.6,38.7,77,7.8,72.8
6.7,79,46,62.5,64.2,87.5,5.2,70.1
1.7,69.6,78.2,87.9,41.5,47.1,4.2,56.8
8.9,70,50.6,62,49.9,59.5,4.5,71.4
9.3,85.1,36.6,45.2,54,88.7,7.6,72.6
1.5,99.7,53.4,73.4,83.5,91.4,5,80.2
3.5,84.8,47.6,90.7,87.5,47,5.9,71.6
8.3,80.1,84.8,87.8,53.1,68.5,6.5,83.2
7.7,87.9,50.4,50.5,86.5,43.5,7.6,71.2
2.7,75.9,81.3,80.4,86.4,37.1,4.6,77.2
2.9,57.7,88,53.2,80.9,93.8,6,75.5
4.3,80.3,58.2,53.1,43.8,87.4,6.4,67.6
5.4,98.1,89.1,92.4,76.4,83.2,6.7,95
6.6,62.9,54.5,55,91.7,33.4,8.1,70.9
4.3,86.1,92.7,55.8,76,89.1,4.9,82
5.2,64,35.8,40,54.9,60.7,8,59.8
7.7,79.1,74.7,92.2,65,54,7.5,87.1
1.3,59.4,62.1,87.6,73.7,68.3,6.8,71.4
3.3,75.3,55.2,77.6,65.6,36.4,7.5,64.8
7.4,89,71.1,85,42.2,83,6.1,81.5
9.1,70.6,75.8,49.1,53.7,70.8,4.7,76.1
5.6,84.9,30.3,67.5,83.1,43.1,7.3,61.9
5.8,90.8,40.9,61.1,86.7,43.2,6.6,71.5
2,96.7,76.3,45.6,43.2,42.9,7.2,69.4
5,65.6,73.3,69.2,92.1,34,5.7,71
5.8,73,92.8,95.2,54.7,71.1,8.5,83.4
3.2,61.9,79.5,42.4,74.7,88.8,6.9,70.5
3.4,99.7,91.8,57.5,80.1,31.2,4.4,76.3
4.4,96.7,75.7,52.5,83.7,33.4,6.2,75
1.2,79.3,49.4,54.3,91.7,70.1,7.8,66.8
3.9,92.9,36.8,94.5,53.8,87.4,8,68.7
2.9,78.4,80.8,68.1,86.5,52.9,6.5,76.2
3.9,83.1,71.9,68,42.9,54.5,8.5,63.3
2.1,59,33.1,85.6,77.3,71.7,5.3,63.3
9,89,53.4,49.3,79.5,49.2,6.1,80.5
6.3,60.7,92.2,69.2,75.7,31.9,8.5,75.5
7.1,92.2,62.5,65.8,50.1,81.5,8.5,73.5
8.1,90.2,58.1,75.8,87.4,73.8,7.4,93.4
5.5,86.9,59.8,100,45.1,70.7,8.3,75.1
1.8,56.6,43.6,86.2,38.2,81.9,4.4,62
5.8,68.6,54,63.9,78,77.3,8.3,76.4
6.3,66.8,54,89.7,63.5,44.4,5.6,70.5
7.7,71.2,33.4,50.2,85.9,54.7,4.9,70.4
4.9,58.9,79.9,41.8,58,38.8,5.2,61
2.1,97.2,57.1,52.3,45.1,39.1,6.1,57.6
3.6,79.9,83.4,60.4,85.2,77.3,5.3,77.5
4.3,68.7,85.3,70.6,67.9,90.1,5.6,74.8
6.8,72.9,43.8,76.9,46.4,97.4,4.7,73.3
6.1,75.1,72.7,94.6,78.2,74,5.5,83.3
4.2,82,60.7,70.6,65.7,42.9,6.9,68.2
9.9,78.2,87.2,70.1,71.3,37.4,6.2,81.2
6.5,96.4,44,43,62.7,86.9,5.7,77.7
3.1,77.4,74.1,42.1,84.7,70.5,7.7,77.5
1.9,99.6,69.5,73.1,84.8,73.3,8.5,82.4
2.4,93.3,49.2,66.3,77.6,84.7,7.8,71.2
3.2,64.4,38.9,90.4,41.3,79.2,5.7,55
2.4,96.9,72.4,49.6,85.3,88.4,7.7,85.9
2.7,60.2,78,41.5,75.3,33.9,4.8,61.8
3.6,91.8,50.5,66.9,76.8,82.3,4.7,68.4
2.6,72.1,71.9,54.2,56.8,89.6,5.7,70.7
9.1,94.5,55.7,43,87.8,50,8,85.8
1.7,94.1,76.4,83.5,78.5,74.8,5.2,76.5
5.7,91.3,42.9,46.7,41.8,52,4.3,63.8
4.7,90.6,87.9,76.5,59.5,97.1,4.7,87.4
9.8,68.7,48.7,56.9,88.2,32.3,8.3,73.7
2,58.6,53.9,50.4,37.8,70.6,7.2,53.5
4.6,73.1,33.8,62.8,92.7,41.7,5.3,68.3
9.7,62.8,37.2,88.1,75.7,79.9,6.8,71.3
8.8,86.3,63.5,63.5,72.9,42.3,6.6,78.6
8.4,70.6,47.4,85,51.2,46.5,7.3,67.3
3.3,98.9,84.3,47.5,49.9,64.6,5.2,67.7
2.5,83.8,31,86.4,91.5,94,8.3,73.6
7,92,54.6,54.2,52.9,44.8,5.5,66.3
9.4,61,51.9,80.6,81.5,40.1,7.5,77.6
6,93.8,31.3,73.9,58.6,83.1,4.1,64.2
6.1,96.5,38.1,95.7,43.4,65,5.9,79.2
3.5,76.9,56.9,63.2,35.6,93.8,5.8,72.9
7.9,82.3,62,44,67.7,40.3,6.7,67.8
2.7,89.4,56.3,41.1,93.5,75.2,4.4,75.3
3.9,62.9,64.5,89.6,57.1,46.3,8,68.4
4.8,77.6,68.7,71.5,56.4,41,5.1,68.3
5.6,72.9,30.6,86.5,55.6,77.8,7.4,69.1
3.2,61.6,60.2,54.1,66.2,71.6,8,65.1
2,71.5,92.6,60.7,61.4,82.8,6.8,78.8
6.5,58.1,63.7,41.8,87.8,51.7,7.7,74.5
3.6,56.2,74,97.7,65.3,61.4,7.3,73.6
6.2,61.1,50.3,80.1,65.5,58.4,5.8,65.5
2.4,98.3,80.3,96,43.3,98.9,8,77
5.3,79.7,80.2,55.9,94,50.5,5.5,72.3
5.8,98.5,63.9,76.7,50,50.6,6.9,73.5
1.5,74.5,93.4,80.7,39.4,54.8,7.7,64.9
4,69,38.2,59.1,74.8,69.5,5.9,63.5
2.2,77.8,31.1,90.9,70.7,47.7,5.5,65.9
1.6,74.8,80.1,96.8,59.9,94.1,6.3,82.4
9.9,59.8,82.5,93.1,60.3,48.6,8.1,87.7
3.9,83.8,37.8,84.3,82.1,92.7,8.6,76.9
8.3,64.7,47.3,56.6,46.7,37.2,6.7,72.5
3.3,82.9,31.1,56.9,84.2,76,7.3,68.8
7.1,84.3,49.1,97.8,73.9,93.5,8.5,85.6
7.8,61.8,80.3,40.6,60.1,41.8,4.5,65
6.4,57.8,63.7,83,62.5,97.8,5.2,80.9
5.2,90.1,52.6,82.4,50.4,61.7,7.5,75.1
4.7,75.7,54.2,77.4,80.1,96.2,8.1,78.2
4.1,57.6,30.1,99.4,65.8,77.4,8.3,70.6
9.4,99.8,49.5,58.7,54.3,51.1,6.1,73.1
8.5,57.6,72,60.4,70.8,43.2,4.4,74.1
9.7,86.3,93.3,44.7,94.7,51.3,6.2,80.9
2.1,99.3,85.1,66.6,61.1,36.5,5.2,67.4
7.6,65.8,31.5,55.7,90.2,40.1,5.5,71.4
9.4,61.4,88.4,60.6,55.7,37.3,7.9,78.2
2.6,60.5,80.9,90.1,38.3,59.6,4.4,66.2
1.6,68.6,80.7,96.1,47.3,85.7,8.1,72
7.7,59.5,59.8,51.1,60.1,39.9,6.1,69.5
6.2,86.1,55.9,62.4,48.2,39.1,7,66
8.6,57.8,49.7,95.7,35,75,4.4,68.7
2.3,77.9,34.3,43.7,89.9,43.8,5.7,63.1
8.2,99.9,44.8,45.5,85.6,36.8,4.4,75.2
2.8,91.6,46,49.8,79.5,41.7,8.8,62.3
2.5,82.7,61.5,75.7,45.1,94.7,8,73.2
2.5,68.8,78.6,49,42.2,87.5,6.3,68.9
8.3,83.1,60.8,98.1,39.1,54.8,5.1,78.5
7,78.7,33.8,66.8,78.4,75.9,8.7,69.3
5.7,74.2,92.3,70.1,90.7,67.6,5.7,90.4
4.2,60.9,91.3,54.8,60.8,77.4,4.8,71.8
8.9,94.9,81,68.3,42.1,77.8,6.8,83.2
4.5,75.2,94.4,79.7,65.7,74,8.7,95.6
8.3,63.8,65.4,85.1,55.9,48.6,4,75.8
5,71.5,92.6,85.2,57.5,32.7,5.2,73.1
4.4,73.6,34.9,74.7,72.3,61.9,8.7,59.7
5.2,92.2,53.8,94.3,78.1,92.4,4.9,87.2
3.7,88,44.6,89,41.6,69.9,4.6,58.7
7.7,89.6,42.7,85.4,37.1,88.3,6.9,71.4
5.5,55.5,39.2,43.3,94.7,99.4,8.3,73.7
3.1,73.7,70.5,40.4,49,41.5,6.4,65.3
9.1,76.7,80.8,52.7,38.2,78.4,9,85.5
4.5,55.9,67.6,79.8,46.4,77.2,7.4,71.1
5.9,66.7,39.6,64.7,37.3,98.6,4.4,66
9.2,89.2,82.7,64.1,58.5,99,9,90.8
6.6,61.2,71.3,93.1,83.1,78.1,6,86
2.1,79.1,55.2,93.7,55.5,47.1,5.4,63.8
9.5,64.7,73.8,94.6,61.7,85.9,6.8,94
6.6,55.5,46.9,58.8,75.5,37.5,5.5,69.4
4,65.9,52.4,81.5,65.5,84.6,4.4,72.1
2.3,98.9,89.6,56.3,86.7,93.7,4,79.3
8.1,91.1,48.9,51.4,87,56.8,6.2,80.3
6.6,98.2,60.5,51.1,35.6,74.1,8.2,71.9
5.8,77,87.9,60.5,81.7,60.1,6.9,78.3
9,59.9,76,65.8,62.6,60.6,9,81.9
8.1,79.7,34,89.9,94.3,51.7,5.4,78.5
2.4,75.4,39.6,47.2,64,83.3,5.4,63.7
3.8,93,30.5,84.1,94.2,95.5,4.8,74.4
3.2,59.4,71,71.9,80.3,95.9,4.8,71.3
7.7,77,59.1,57.3,49.9,42.2,5.4,68.4
1.3,61.8,38.7,69.6,67.3,91.2,8,64.5
6.1,69.6,92.3,58,94.5,81.6,8.5,91.3
7.9,88.2,64.4,75.8,86.5,47.7,8.9,89.1
8.9,76.4,45.7,66,40.8,34.7,5.2,69.4
4.1,71.9,62.5,49.9,77.4,48.8,8.4,67.3
8.4,72.8,74.2,47,55.7,93.9,5.6,78
2,75.7,35,72.8,35.4,74.3,4.6,49.9
8.6,90.3,47.9,94.1,59.2,80.5,8.4,87.4
2.1,95.1,82.5,60.6,49.1,48,7.2,73.4
4.6,98,59.9,84,84.1,80.4,4.8,79
8.2,90.4,65.5,79.5,55.2,32,6.1,74.7
2.3,69.2,58.1,95.9,84.7,56.3,5.4,77.1
3.1,86,32.9,89.3,35,73.9,7.7,64.2
7.5,74.7,40.8,74,53.5,40.2,6.3,68.5
7.5,66.5,59,79.4,49.5,87.6,8.9,75.5
6.8,92.8,43.6,93.9,49,46.5,4.3,71.7
7.2,56.7,33.2,64,39.1,75.7,5.8,59.2
5.9,95.6,84.8,59.6,46.2,58.4,6.4,71.4
3.3,75.8,93.8,40.6,68.3,71.7,6.5,73.2
4.1,83.7,81.6,89.6,52.5,37.5,5.6,69.8
2.6,84.7,85.5,88.1,60,31.2,7.6,71.7
9.2,95.3,45.7,46.3,57.6,93.7,8.4,74.5
6.3,83.7,92.4,74.6,87.6,48.9,8.7,92.7
4.6,82.6,42.8,67.8,89.3,87.4,8,81.8
5.2,58,91.8,47.1,64.6,100,8.3,74.6
9.5,78.3,94.7,98.8,54.8,44.8,6.8,93.7
2.4,61.8,76.3,52.9,41.4,48.6,8.1,58.4
6.3,88.2,93.8,44,92.2,76.4,5.5,90.3
5.6,78,67,75.7,38.6,97.6,6,75.2
6.5,85.6,46.9,84.3,52.9,94.1,5.6,76.3
1.2,56.9,58.4,41.9,52.9,65.2,6.3,54.9
8.8,58.8,68.6,79.5,54.2,85.7,5.4,86.5
9.4,87.2,34.8,71.9,44.9,39.5,8.8,65.8
6.1,58.2,70.5,46.2,82,98.4,5.6,81.8
7.3,58.2,93.8,50.4,42.3,97.5,4.5,83.4
9.3,55.5,42.4,74.1,73.1,41.5,6.6,76.2
7.4,98,81.5,57.8,42.4,51,4.3,83.4
2.4,88.2,89,96.3,39.2,37,4.6,66.2
6.2,70.9,91.3,89.1,89.6,49,5.1,89.9
6.5,68.3,92.4,99,46.4,87.1,6.3,86
4.8,70.7,63.9,55.6,84.3,56.5,6.2,77.5
7.6,89.9,93.5,98.2,67.7,36.2,8,89.2
9.4,84.8,79.2,65.9,39.7,54,7.7,79.2
9.3,63.3,40.5,60.9,92.3,98.7,6.1,88.8
5.1,62.8,61,43,49.8,74.1,5.7,63
2,59.4,76.7,43.2,86.6,59.1,5.6,61.7
9.9,84.7,46.1,81.5,45.1,41.7,7.9,73.1
8.6,89.4,71.6,67.5,86.2,99,4.3,93
2.1,66.9,73.3,53.6,35.8,87.5,4.1,67.2
9.3,55.9,40.6,76.8,65.7,49.7,8,74.9
8.8,58.7,66.7,55.2,81.2,34.9,6.4,81.6
5.7,98.6,80.2,74.7,91.1,34,4.7,75.1
6.3,68.3,62.4,61.6,89.6,38.4,5.2,71.4
4.6,89.6,30.8,89.4,84.2,70.7,8.7,74.3
1.5,83.1,30.6,89.2,88.3,95,8.3,72.1
4,72.2,53.2,68.6,47,64.8,7.5,65.8
8.2,64.3,90.2,61,52.1,89,6.4,87.5
1,60.5,44.9,61.8,52.3,61.2,6.6,53
4,82.7,71.2,88.3,57.6,79.6,8.9,80.2
4.6,89.9,44.4,59.7,58.6,81.2,8.8,70.8
5.8,84,50.9,52.5,67.7,42.2,5.1,61.9
9.3,78.9,85.1,45.1,44.6,55.3,8.1,79.4
4.1,56.9,77.4,68,76.5,74.6,5,74.4
4.1,98.6,36.2,68.9,45.1,34.9,5.1,56.1
7.6,90.9,57.9,90.5,53.6,55.3,7.4,78.9
5.1,68.2,31.9,53.3,65.2,67.4,6,62.4
3,99.1,61.3,62.9,82.8,99.7,8.7,79.2
5.1,82.1,73.1,88.5,79.4,63.2,4.4,84.8
2.3,81.2,37.7,89.4,73.7,87.1,6.6,65.3
2.6,88.7,48.8,63.1,44.3,60.2,8.6,59.3
5.5,91.5,55.9,67.5,67.8,85.7,8.5,90.3
4.8,84.5,89.8,58.2,40.2,71.7,4.8,68.7
9.2,60.8,94.6,96,57.6,92.1,5.8,88.2
4.3,70.2,32.9,47.1,59.8,58.8,7.1,61.7
6.2,96.8,79.5,96,37.4,72.3,4.8,71.2
6.7,65.1,54.2,81,51.4,74.1,8.8,74.9
1.1,71.7,55.5,71.9,92.3,59.2,8.6,78.6
7,74.4,79,42,92.2,40.1,4.8,70.6
2.6,74.8,89.7,68.5,56.1,36.5,4.6,58.7
9.6,82.6,91.8,64.5,37.6,31.2,4.4,70.7
2.3,97.4,67.5,49.7,45.7,91.1,8.5,73.6
4.7,65.8,53.2,79.4,58.5,46.6,5,69.4
1.8,60.5,81.2,98.3,91.9,44.8,6.1,73.8
10,63.9,46.3,73.7,43.5,81.5,6.2,78.9
5.5,94.9,66.7,82.9,80.8,52.4,7,86.2
6.4,84.1,53.3,44.1,41.5,65.4,4.4,70.8
1.6,67.9,72.7,65.1,93.9,41.4,5.1,67
7.7,91.7,45.6,47,57.9,97.2,8.7,68.7
2.9,93.8,42.5,76.8,81.5,89.6,8.5,72.3
9.1,93.1,89.7,96.3,55.6,90.5,7.9,95.3
2.8,96.4,36.6,79.7,72.7,58.5,4.1,62.7
2.7,66.4,62.9,44.6,46.5,83.4,5.6,61.1
1.3,89,44.4,61.3,43.8,40.1,7.1,58.1
5.2,75.7,32.5,73,91.3,30.6,5.4,70.4
6.1,92.9,32.3,64.2,90.1,31.4,8.5,69.7
1.6,87.8,41.4,90,88.2,71.1,7.2,75.7
8,89.9,86.3,88.9,72.5,61.9,4.4,89.5
5.1,84.5,48.4,76.7,83.5,66.3,8.5,77.7
5.7,63,91.8,62.4,39.1,30.5,8.8,74.8
5,79.5,67.8,55.3,55.1,59.6,4.4,67.8
4.6,99.3,58.4,46.4,53.8,80.3,6.7,78.4
6,97.2,67.7,61.3,73.1,61,5.5,71.4
2.4,56.9,63.6,64.8,56.4,81.3,6,63.5
2.6,62.4,79.3,80.5,43.9,46.3,4.9,63.5
8.8,60.9,48.4,79.5,70.8,86.9,6.9,83.6
9.5,87.7,52.9,44.2,83.9,71.2,8.8,89
4.4,91.8,88.1,63.7,57.9,44.8,6.5,74.3
3.4,64.6,91.5,50.9,42.9,46.6,4.4,58.1
6.8,77.8,88,49.4,46.8,74,7.1,81.7
4.7,92.8,57.3,89.6,49.2,88.1,5.7,78.2
1.2,88,80.7,42.5,53,59.1,8.3,57.7
2.4,79.4,61,65.2,73.6,48.1,6.2,65.9
7.4,81.6,62.3,50.1,71.1,90.7,5,72.5
6.9,77.9,43.3,92.8,76.8,76.8,5,75.6
1.2,68.4,68.4,73.4,56.8,61.4,7.8,62.1
3,80.4,42.1,53.9,84.4,64.2,5.3,67.7
3.1,86,51.6,70.1,47.2,44.3,7.8,62.6
7,94.3,85.6,83.9,63.1,73.9,5,81
1.2,83.6,43.5,97.5,83.1,55.1,5.6,70.3
1.9,89.3,34.6,53.2,45.8,99.7,6.3,54
8.2,62.2,34.5,93.2,41.6,63.6,8.7,73.1
2.6,75.8,91.2,96.1,88,64,8.7,82.6
6.9,55.4,62.9,95,55.6,69.6,5,74.4
3.1,66.1,56.6,78.1,76,94.2,5.8,75.8
1.9,87.7,82.7,77.8,36.5,86.1,4.7,71.9
3.2,99.6,84.3,64.2,76.4,61.6,6.5,83.4
7.5,59.5,51.6,85.1,54,80.3,6.3,75.4
8.7,73.1,75.1,71.9,38.3,71,8.5,82.3
8.5,91,80.1,80.6,71.6,64.5,8.7,89.2
4.6,64.2,72.6,65.7,49.4,43.5,5.9,66.7
7,80,39.9,83.9,58.2,62.5,6.5,73.8
2.8,88,86.9,89.5,39.8,47.2,8.5,72.7
3.6,82.7,65,48.8,43.8,94,8,62.7
9.1,63.5,48.4,90,52.9,53.5,4,74.1
1.1,71,57.6,72.4,40.4,96.7,5.6,64.2
1.8,90.3,32.4,90.7,89.6,67.3,6.1,65.7
2.9,79.9,38.3,65.9,35.4,74.2,5.1,51.4
1.2,55.2,79.8,62.7,64,68,5,71.2
2.6,89.2,30,94.9,42.4,39.1,4.2,56.4
6.2,56.6,57.1,55.1,53.5,56.3,7.2,66
4.8,88.6,64,90.7,90.6,36.9,5.3,72.5
9,64.1,33.6,69,44.7,73.6,4.3,64.2
8.4,98.1,93.3,70.8,92.9,61.3,5.2,98.7
4.1,71.6,44.7,58.5,47.3,84.5,8,66
3.3,69.7,49.8,74.4,79.5,45.4,8.3,66
4.4,61.7,49.8,59.5,67.8,41.5,6.4,64.6
6.3,68.8,45,42.4,88.1,58.4,6.1,66.3
